Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.52625,4:25:48 PM,6,13,0,0,0
0.5275,4:25:48 PM,3,11,3,0,0
0.52875,4:25:48 PM,5,7,1,0,0
0.53,4:25:48 PM,4,12,1,0,0
0.53125,4:25:48 PM,5,14,0,0,0
0.5325,4:25:48 PM,2,8,1,0,0
0.5337500000000001,4:25:48 PM,3,10,3,0,0
0.535,4:25:48 PM,5,11,1,0,0
0.53625,4:25:48 PM,4,7,1,0,0
0.5375,4:25:48 PM,8,15,2,0,0
0.5387500000000001,4:25:48 PM,10,10,1,0,0
0.54,4:25:48 PM,6,7,3,0,0
0.54125,4:25:48 PM,5,7,1,0,0
0.5425,4:25:48 PM,8,13,0,0,0
0.5437500000000001,4:25:48 PM,11,6,1,0,0
0.545,4:25:48 PM,6,8,0,0,0
0.54625,4:25:48 PM,3,13,1,0,0
0.5475,4:25:48 PM,12,14,0,0,0
0.54875,4:25:48 PM,1,10,2,0,0
0.55,4:25:48 PM,5,13,3,0,0
0.55125,4:25:48 PM,5,7,1,0,0
0.5525,4:25:48 PM,6,12,2,0,0
0.55375,4:25:48 PM,6,10,2,0,0
0.555,4:25:48 PM,9,10,3,0,0
0.55625,4:25:48 PM,8,8,1,0,0
0.5575,4:25:48 PM,3,8,0,0,0
0.55875,4:25:48 PM,4,8,1,0,0
0.56,4:25:48 PM,6,12,2,0,0
0.56125,4:25:48 PM,5,7,3,0,0
0.5625,4:25:48 PM,5,10,0,0,0
0.56375,4:25:48 PM,4,12,1,0,0
0.5650000000000001,4:25:48 PM,2,8,3,0,0
0.56625,4:25:48 PM,7,11,3,0,0
0.5675,4:25:48 PM,10,9,2,0,0
0.56875,4:25:48 PM,11,8,1,0,0
0.5700000000000001,4:25:48 PM,11,6,1,0,0
0.57125,4:25:48 PM,7,5,1,0,0
0.5725,4:25:48 PM,4,7,4,0,0
0.57375,4:25:48 PM,6,11,2,0,0
0.5750000000000001,4:25:48 PM,8,4,1,0,0
0.57625,4:25:48 PM,5,12,2,0,0
0.5775,4:25:48 PM,8,9,1,0,0
0.57875,4:25:48 PM,6,7,1,0,0
0.58,4:25:48 PM,4,15,1,0,0
0.58125,4:25:48 PM,4,11,3,0,0
0.5825,4:25:48 PM,6,3,0,0,0
0.58375,4:25:48 PM,7,5,2,0,0
0.585,4:25:48 PM,1,12,2,0,0
0.58625,4:25:48 PM,2,15,1,0,0
0.5875,4:25:48 PM,6,12,1,0,0
0.58875,4:25:48 PM,6,6,2,0,0
0.59,4:25:48 PM,9,12,1,0,0
0.59125,4:25:48 PM,3,10,0,0,0
0.5925,4:25:48 PM,10,10,3,0,0
0.59375,4:25:48 PM,6,8,2,0,0
0.595,4:25:48 PM,6,6,0,0,0
0.5962500000000001,4:25:48 PM,0,5,0,0,0
0.5975,4:25:48 PM,2,4,0,0,0
0.59875,4:25:48 PM,8,10,1,0,0
0.6,4:25:48 PM,5,10,1,0,0
0.6012500000000001,4:25:48 PM,6,10,0,0,0
0.6025,4:25:48 PM,6,10,0,0,0
0.60375,4:25:48 PM,3,9,2,0,0
0.605,4:25:48 PM,6,13,0,0,0
0.6062500000000001,4:25:48 PM,6,9,4,0,0
0.6075,4:25:48 PM,6,10,2,0,0
0.60875,4:25:48 PM,5,10,3,0,0
0.61,4:25:48 PM,7,11,0,0,0
0.61125,4:25:48 PM,7,10,0,0,0
0.6125,4:25:48 PM,10,6,2,0,0
0.61375,4:25:48 PM,2,13,0,0,0
0.615,4:25:48 PM,7,11,2,0,0
0.61625,4:25:48 PM,6,2,1,0,0
0.6175,4:25:48 PM,6,15,2,0,0
0.61875,4:25:48 PM,3,7,0,0,0
0.62,4:25:48 PM,4,8,2,0,0
0.62125,4:25:48 PM,7,11,0,0,0
0.6225,4:25:48 PM,7,11,0,0,0
0.62375,4:25:48 PM,2,8,1,0,0
0.625,4:25:48 PM,3,14,2,0,0
0.62625,4:25:48 PM,4,15,1,0,0
0.6275000000000001,4:25:48 PM,11,7,0,0,0
0.62875,4:25:48 PM,3,8,1,0,0
0.63,4:25:48 PM,4,8,2,0,0
0.63125,4:25:48 PM,4,10,3,0,0
0.6325000000000001,4:25:48 PM,3,7,0,0,0
0.63375,4:25:48 PM,2,8,3,0,0
0.635,4:25:48 PM,3,11,1,0,0
0.63625,4:25:48 PM,7,10,2,0,0
0.6375000000000001,4:25:48 PM,6,11,3,0,0
0.63875,4:25:48 PM,8,13,0,0,0
0.64,4:25:48 PM,2,9,0,0,0
0.64125,4:25:48 PM,5,13,0,0,0
0.6425,4:25:48 PM,6,12,4,0,0
0.64375,4:25:48 PM,4,9,0,0,0
0.645,4:25:48 PM,5,12,0,0,0
0.64625,4:25:48 PM,8,6,0,0,0
0.6475,4:25:48 PM,5,11,0,0,0
0.64875,4:25:48 PM,7,12,1,0,0
0.65,4:25:48 PM,8,8,2,0,0
0.65125,4:25:48 PM,9,10,1,0,0
0.6525,4:25:48 PM,5,10,2,0,0
0.65375,4:25:48 PM,10,8,1,0,0
0.655,4:25:48 PM,5,10,2,0,0
0.65625,4:25:48 PM,3,6,1,0,0
0.6575,4:25:48 PM,6,4,1,0,0
0.6587500000000001,4:25:48 PM,2,13,1,0,0
0.66,4:25:48 PM,9,7,1,0,0
0.66125,4:25:48 PM,5,18,0,0,0
0.6625,4:25:48 PM,4,10,3,0,0
0.6637500000000001,4:25:48 PM,4,13,1,0,0
0.665,4:25:48 PM,9,9,1,0,0
0.66625,4:25:48 PM,12,10,1,0,0
0.6675,4:25:48 PM,4,10,3,0,0
0.6687500000000001,4:25:48 PM,7,4,0,0,0
0.67,4:25:48 PM,1,7,0,0,0
0.67125,4:25:48 PM,4,6,2,0,0
0.6725,4:25:48 PM,4,12,0,0,0
0.67375,4:25:48 PM,8,16,1,0,0
0.675,4:25:48 PM,5,10,1,0,0
0.67625,4:25:48 PM,3,13,2,0,0
0.6775,4:25:48 PM,4,8,2,0,0
0.67875,4:25:48 PM,2,12,2,0,0
0.68,4:25:48 PM,3,7,2,0,0
0.68125,4:25:48 PM,4,6,1,0,0
0.6825,4:25:48 PM,10,16,0,0,0
0.68375,4:25:48 PM,1,8,1,0,0
0.685,4:25:48 PM,4,6,1,0,0
0.68625,4:25:48 PM,6,10,1,0,0
0.6875,4:25:48 PM,4,10,0,0,0
0.68875,4:25:48 PM,3,13,0,0,0
0.6900000000000001,4:25:48 PM,5,9,0,0,0
0.69125,4:25:48 PM,5,14,0,0,0
0.6925,4:25:48 PM,8,7,2,0,0
0.69375,4:25:48 PM,2,14,1,0,0
0.6950000000000001,4:25:48 PM,4,11,1,0,0
0.69625,4:25:48 PM,12,9,0,0,0
0.6975,4:25:48 PM,6,9,2,0,0
0.69875,4:25:48 PM,4,8,2,0,0
0.7000000000000001,4:25:48 PM,7,11,2,0,0
0.70125,4:25:48 PM,4,11,1,0,0
0.7025,4:25:48 PM,3,11,1,0,0
0.70375,4:25:48 PM,3,8,1,0,0
0.705,4:25:48 PM,9,12,1,0,0
0.70625,4:25:48 PM,9,12,3,0,0
0.7075,4:25:48 PM,9,7,3,0,0
0.70875,4:25:48 PM,8,11,3,0,0
0.71,4:25:48 PM,5,11,1,0,0
