Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.6,10:39:54 AM,2,10,41,0,0
0.6012500000000001,10:39:54 AM,2,12,48,0,0
0.6025,10:39:54 AM,3,5,45,0,0
0.60375,10:39:54 AM,2,3,57,0,0
0.605,10:39:54 AM,5,4,41,0,0
0.6062500000000001,10:39:54 AM,1,7,63,0,0
0.6075,10:39:54 AM,4,3,44,0,0
0.60875,10:39:54 AM,4,5,45,0,0
0.61,10:39:54 AM,3,6,55,0,0
0.61125,10:39:54 AM,3,9,55,0,0
0.6125,10:39:54 AM,3,10,49,0,0
0.61375,10:39:54 AM,3,12,44,0,0
0.615,10:39:54 AM,1,6,46,0,0
0.61625,10:39:54 AM,2,11,50,0,0
0.6175,10:39:54 AM,4,9,49,0,0
0.61875,10:39:54 AM,1,7,48,0,0
0.62,10:39:54 AM,3,6,59,0,0
0.62125,10:39:54 AM,2,8,53,0,0
0.6225,10:39:54 AM,3,5,60,0,0
0.62375,10:39:54 AM,2,3,44,0,0
0.625,10:39:54 AM,3,4,56,0,0
0.62625,10:39:54 AM,2,6,46,0,0
0.6275000000000001,10:39:54 AM,3,6,52,0,0
0.62875,10:39:54 AM,2,6,54,0,0
0.63,10:39:54 AM,3,7,59,0,0
0.63125,10:39:54 AM,2,8,50,0,0
0.6325000000000001,10:39:54 AM,1,8,51,0,0
0.63375,10:39:54 AM,6,12,49,0,0
0.635,10:39:54 AM,4,14,50,0,0
0.63625,10:39:54 AM,3,6,52,0,0
0.6375000000000001,10:39:54 AM,1,10,50,0,0
0.63875,10:39:54 AM,4,6,56,0,0
0.64,10:39:54 AM,3,6,51,0,0
0.64125,10:39:54 AM,2,9,55,0,0
0.6425,10:39:54 AM,1,6,42,0,0
0.64375,10:39:54 AM,3,7,43,0,0
0.645,10:39:54 AM,1,6,51,0,0
0.64625,10:39:54 AM,0,2,38,0,0
0.6475,10:39:54 AM,2,11,48,0,0
0.64875,10:39:54 AM,3,5,45,0,0
0.65,10:39:54 AM,5,10,47,0,0
0.65125,10:39:54 AM,6,15,46,0,0
0.6525,10:39:54 AM,0,9,61,0,0
0.65375,10:39:54 AM,3,7,52,0,0
